Prefixo,Nome,TipoPosto,Data,Valor,Valor2
351870108A,Guarujá (Jardim da Esperança),2,2026/01/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/31,1.5743800000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/30,9.266684235298676,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/29,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/26,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/22,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/20,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/19,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/18,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/17,20.853531239927715,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/16,14.743132672830134,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/13,14.591860550624336,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/12,12.793757281065634,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/10,13.967541287961916,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/09,3.9707200000000014,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/08,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/07,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/06,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/05,4.347987498840034,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/04,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/02,16.359160652763702,null
351870108A,Guarujá (Jardim da Esperança),2,2025/12/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/30,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/29,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/26,0.4,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/25,9.503097189799556,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/24,84.44274479294305,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/23,4.581700000000001,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/22,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/19,2.757848282607555,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/18,3.9638607275910225,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/17,23.444225002264496,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/16,0.8,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/11/10,0,null
